;deterministic;time
200;1,9;2018-05-13 03:00:00
201;1,92;2018-05-13 06:00:00
202;1,95;2018-05-13 09:00:00
203;1,96;2018-05-13 12:00:00
204;1,91;2018-05-13 15:00:00
205;1,81;2018-05-13 18:00:00
206;1,7;2018-05-13 21:00:00
207;1,62;2018-05-14 00:00:00
208;1,64;2018-05-14 03:00:00
209;1,78;2018-05-14 06:00:00
210;1,9;2018-05-14 09:00:00
211;1,96;2018-05-14 12:00:00
212;1,95;2018-05-14 15:00:00
213;1,87;2018-05-14 18:00:00
214;1,79;2018-05-14 21:00:00
215;1,76;2018-05-15 00:00:00
216;1,79;2018-05-15 03:00:00
217;1,83;2018-05-15 06:00:00
218;1,86;2018-05-15 09:00:00
219;1,85;2018-05-15 12:00:00
220;1,79;2018-05-15 15:00:00
221;1,68;2018-05-15 18:00:00
222;1,59;2018-05-15 21:00:00
223;1,56;2018-05-16 00:00:00
224;1,56;2018-05-16 03:00:00
225;1,51;2018-05-16 06:00:00
226;1,43;2018-05-16 09:00:00
227;1,38;2018-05-16 12:00:00
228;1,36;2018-05-16 15:00:00
229;1,36;2018-05-16 18:00:00
230;1,36;2018-05-16 21:00:00
231;1,34;2018-05-17 00:00:00
232;1,33;2018-05-17 03:00:00
233;1,35;2018-05-17 06:00:00
234;1,43;2018-05-17 09:00:00
235;1,57;2018-05-17 12:00:00
236;1,62;2018-05-17 15:00:00
237;1,58;2018-05-17 18:00:00
238;1,54;2018-05-17 21:00:00
239;1,5;2018-05-18 00:00:00
240;1,47;2018-05-18 03:00:00
241;1,48;2018-05-18 06:00:00
242;1,55;2018-05-18 09:00:00
243;1,65;2018-05-18 12:00:00
244;1,72;2018-05-18 15:00:00
245;1,72;2018-05-18 18:00:00
246;1,67;2018-05-18 21:00:00
247;1,6;2018-05-19 00:00:00
248;1,58;2018-05-19 03:00:00
249;1,61;2018-05-19 06:00:00
250;1,65;2018-05-19 09:00:00
251;1,68;2018-05-19 12:00:00
252;1,66;2018-05-19 15:00:00
253;1,56;2018-05-19 18:00:00
254;1,45;2018-05-19 21:00:00
255;1,37;2018-05-20 00:00:00
256;1,35;2018-05-20 03:00:00
257;1,37;2018-05-20 06:00:00
258;1,42;2018-05-20 09:00:00
259;1,47;2018-05-20 12:00:00
260;1,47;2018-05-20 15:00:00
261;1,43;2018-05-20 18:00:00
262;1,39;2018-05-20 21:00:00
263;1,41;2018-05-21 00:00:00
264;1,5;2018-05-21 03:00:00
265;1,61;2018-05-21 06:00:00
266;1,68;2018-05-21 09:00:00
267;1,71;2018-05-21 12:00:00
268;1,67;2018-05-21 15:00:00
269;1,58;2018-05-21 18:00:00
270;1,5;2018-05-21 21:00:00
271;1,48;2018-05-22 00:00:00
272;1,46;2018-05-22 03:00:00
273;1,43;2018-05-22 06:00:00
274;1,41;2018-05-22 09:00:00
275;1,42;2018-05-22 12:00:00
276;1,45;2018-05-22 15:00:00
277;1,46;2018-05-22 18:00:00
278;1,43;2018-05-22 21:00:00
279;1,39;2018-05-23 00:00:00
